"","qname","log2fc"
"51","ARCN1_c_118441889.27","-0.0551238641354403"
"52","ARCN1_c_118442152.25","-0.404890799285066"
"53","ARCN1_c_118442152.27","-0.234863490013546"
"54","ARCN1_c_118442153.28","0.0525480337346727"
"55","ARCN1_c_118442318.23","0.0491846623015904"
"56","ARCN1_c_118442318.25","-0.0137742157458875"
"57","ARCN1_c_118442318.27","0.413135845030752"
"58","ARCN1_c_118442478.26","0.124045406108714"
"59","ARCN1_c_118442529.28","0.110531252028788"
"60","ARCN1_c_118442534.28","0.173303745903431"
"61","ARCN1_c_118442863.25","0.546787810073815"
"62","ARCN1_c_118442863.26","0.963290101921491"
"63","ARCN1_c_118442889.27","1.19416181753946"
"64","ARCN1_c_118442889.28","0.569995990030506"
"65","ARCN1_c_118442940.24","0.386350073392389"
"66","ARCN1_c_118442940.28","-0.0605725255669343"
"67","ARCN1_c_118442958.23","0.351700806845103"
"68","ARCN1_c_118442970.26","-0.135489045604826"
"69","ARCN1_c_118442982.25","0.036701319756367"
"70","ARCN1_c_118442982.26","0.0152296035911002"
"71","ARCN1_c_118442982.27","-0.158137908210165"
"72","ARCN1_c_118442982.28","0.276122983712233"
"73","ARCN1_c_118442985.28","0.0713927338534332"
"74","ARCN1_c_118442986.25","0.0683333648971159"
"75","ARCN1_c_118442986.27","0.238049176320268"
"76","ARCN1_c_118443009.26","0.566362844169339"
"77","ARCN1_c_118443009.28","-0.0454572968568892"
"78","ARCN1_c_118443010.23","0.078156610013224"
"79","ARCN1_c_118443010.25","0.160309229442369"
"80","ARCN1_c_118443010.26","0.0516099541067267"
"81","ARCN1_c_118443010.27","-0.452991626788113"
"82","ARCN1_c_118443030.22","0.870279371613553"
"83","ARCN1_c_118443030.23","0.700110158530249"
"84","ARCN1_c_118443031.23","-0.0663610949922086"
"85","ARCN1_c_118443031.24","0.510152236047171"
"86","ARCN1_c_118443032.24","0.329770726160978"
"87","ARCN1_c_118443032.25","0.184262417240251"
"88","ARCN1_c_118443058.27","-0.20471226305274"
"89","ARCN1_c_118443058.28","0.399637900497497"
"90","ARCN1_c_118443099.25","0.551941180088049"
"91","ARCN1_c_118443111.23","-0.164453414791804"
"92","ARCN1_c_118443111.25","0.197476922674703"
"93","ARCN1_c_118443116.25","0.253296262334424"
"94","ARCN1_c_118443116.28","0.0760297398825726"
"95","ARCN1_c_118443118.27","0.25993128064255"
"96","ARCN1_c_118443130.26","0.0407028286806221"
"97","ARCN1_c_118443137.27","0.171675956716397"
"98","ARCN1_c_118443137.28","-0.136306363809876"
"99","ARCN1_c_118443145.25","-0.90409512215819"
"100","ARCN1_c_118443145.28","-0.707693135940434"
"101","ARCN1_c_118443163.25","-1.71853421776366"
"102","ARCN1_c_118443163.27","-1.46472536618673"
"103","ARCN1_c_118443163.28","-0.713176765868387"
"104","ARCN1_c_118443164.23","-0.979188684421154"
"105","ARCN1_c_118443164.26","-1.37917542100719"
"106","ARCN1_c_118443164.28","-0.622891687861168"
"107","ARCN1_c_118443165.24","-2.39687008117302"
"108","ARCN1_c_118443165.27","-0.544412993499084"
"109","ARCN1_c_118443166.25","-0.627198330425503"
"110","ARCN1_c_118443166.28","-0.634442171821347"
"111","ARCN1_c_118443173.26","-0.545171139817728"
"112","ARCN1_c_118443266.26","0.0858597649342104"
"113","ARCN1_c_118443266.28","0.189585431891551"
"114","ARCN1_c_118443296.27","-0.10149575717877"
"115","ARCN1_c_118443297.28","0.270155539207693"
"116","ARCN1_c_118443298.24","0.127321499771032"
"117","ARCN1_c_118443326.23","-1.04827559554565"
"118","ARCN1_c_118443326.25","-0.201995431152951"
"119","ARCN1_c_118443329.26","0.108629762819844"
"120","ARCN1_c_118443329.28","0.520466515079556"
"121","ARCN1_c_118443330.27","0.417877715094535"
"122","ARCN1_c_118443335.24","0.0881469676667707"
"123","ARCN1_c_118443336.25","-0.26439155320942"
"124","ARCN1_c_118443337.26","0.201809632669719"
"125","ARCN1_c_118443365.26","0.0640933166164109"
"126","ARCN1_c_118443366.25","0.123944079389561"
"127","ARCN1_c_118443366.27","-0.011289747236422"
"128","ARCN1_c_118443372.24","0.213531161546952"
"129","ARCN1_c_118443372.26","0.47122229541538"
"130","ARCN1_c_118443372.27","0.185672057030309"
"131","ARCN1_c_118443373.24","0.00664339620456453"
"132","ARCN1_c_118443373.25","-0.114761074051828"
"133","ARCN1_c_118443373.27","1.27968477975387"
"134","ARCN1_c_118443373.28","0.105066588168104"
"135","ARCN1_c_118443392.27","-0.0498921871593512"
"136","ARCN1_c_118443392.28","0.0344339395188983"
"137","ARCN1_c_118443393.28","-0.0232580066067623"
"138","ARCN1_c_118443398.26","0.184302500307759"
"139","ARCN1_c_118443398.27","-0.617545078223309"
"140","ARCN1_c_118443398.28","0.398426989371242"
"141","ARCN1_c_118443399.22","-0.643246017033605"
"142","ARCN1_c_118443399.24","0.122635268634625"
"143","ARCN1_c_118443399.27","0.338786339609101"
"144","ARCN1_c_118443399.28","-0.264857960801705"
"145","ARCN1_c_118443400.23","-0.127199719960305"
"146","ARCN1_c_118443400.25","-0.408076615285965"
"147","ARCN1_c_118443400.28","0.292614166029836"
"148","ARCN1_c_118443424.25","0.0209204669399348"
"149","ARCN1_c_118443424.26","0.0231023262709955"
"150","ARCN1_c_118443424.27","-0.221635462632577"
"151","ARCN1_c_118443424.28","0.275469761326928"
"152","ARCN1_c_118443432.26","-0.228561691681326"
